# itau tau ik k itheta theta iphi phi probability
       1   0.0000000000000000E+00       30   1.8138749999999999E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       31   1.8762500000000000E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       32   1.9386250000000000E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       33   2.0009999999999999E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       34   2.0633750000000002E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       35   2.1257500000000000E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       36   2.1881249999999999E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       37   2.2505000000000002E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       38   2.3128750000000000E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       39   2.3752499999999999E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       40   2.4376250000000002E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        1   5.0000000000000001E-03        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        2   6.7375000000000004E-02        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        3   1.2975000000000000E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        4   1.9212499999999999E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        5   2.5450000000000000E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        6   3.1687500000000002E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        7   3.7924999999999998E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        8   4.4162499999999999E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        9   5.0400000000000000E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       10   5.6637499999999996E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       11   6.2875000000000003E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       12   6.9112499999999999E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       13   7.5349999999999995E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       14   8.1587500000000002E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       15   8.7824999999999998E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       16   9.4062500000000004E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       17   1.0029999999999999E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       18   1.0653750000000000E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       19   1.1277500000000000E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       20   1.1901250000000001E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       21   1.2524999999999999E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       22   1.3148750000000000E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       23   1.3772500000000001E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       24   1.4396249999999999E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       25   1.5020000000000000E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       26   1.5643750000000001E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       27   1.6267499999999999E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       28   1.6891250000000000E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       29   1.7515000000000001E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       30   1.8138749999999999E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       31   1.8762500000000000E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       32   1.9386250000000000E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       33   2.0009999999999999E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       34   2.0633750000000002E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       35   2.1257500000000000E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       36   2.1881249999999999E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       37   2.2505000000000002E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       38   2.3128750000000000E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       39   2.3752499999999999E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       40   2.4376250000000002E+00        2   1.5707963267948966E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        1   5.0000000000000001E-03        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        2   6.7375000000000004E-02        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        3   1.2975000000000000E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        4   1.9212499999999999E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        5   2.5450000000000000E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        6   3.1687500000000002E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        7   3.7924999999999998E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        8   4.4162499999999999E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        9   5.0400000000000000E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       10   5.6637499999999996E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       11   6.2875000000000003E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       12   6.9112499999999999E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       13   7.5349999999999995E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       14   8.1587500000000002E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       15   8.7824999999999998E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       16   9.4062500000000004E-01        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       17   1.0029999999999999E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       18   1.0653750000000000E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       19   1.1277500000000000E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       20   1.1901250000000001E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       21   1.2524999999999999E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       22   1.3148750000000000E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       23   1.3772500000000001E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       24   1.4396249999999999E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       25   1.5020000000000000E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       26   1.5643750000000001E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       27   1.6267499999999999E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       28   1.6891250000000000E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       29   1.7515000000000001E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       30   1.8138749999999999E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       31   1.8762500000000000E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       32   1.9386250000000000E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       33   2.0009999999999999E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       34   2.0633750000000002E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       35   2.1257500000000000E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       36   2.1881249999999999E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       37   2.2505000000000002E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       38   2.3128750000000000E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       39   2.3752499999999999E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       40   2.4376250000000002E+00        3   3.1415926535897931E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        1   5.0000000000000001E-03        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        2   6.7375000000000004E-02        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        3   1.2975000000000000E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        4   1.9212499999999999E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        5   2.5450000000000000E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        6   3.1687500000000002E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        7   3.7924999999999998E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        8   4.4162499999999999E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        9   5.0400000000000000E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       10   5.6637499999999996E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       11   6.2875000000000003E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       12   6.9112499999999999E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       13   7.5349999999999995E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       14   8.1587500000000002E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       15   8.7824999999999998E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       16   9.4062500000000004E-01        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       17   1.0029999999999999E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       18   1.0653750000000000E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       19   1.1277500000000000E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       20   1.1901250000000001E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       21   1.2524999999999999E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       22   1.3148750000000000E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       23   1.3772500000000001E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       24   1.4396249999999999E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       25   1.5020000000000000E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       26   1.5643750000000001E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       27   1.6267499999999999E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       28   1.6891250000000000E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       29   1.7515000000000001E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       30   1.8138749999999999E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       31   1.8762500000000000E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       32   1.9386250000000000E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       33   2.0009999999999999E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       34   2.0633750000000002E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       35   2.1257500000000000E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       36   2.1881249999999999E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       37   2.2505000000000002E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       38   2.3128750000000000E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       39   2.3752499999999999E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       40   2.4376250000000002E+00        4   4.7123889803846897E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        1   5.0000000000000001E-03        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        2   6.7375000000000004E-02        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        3   1.2975000000000000E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        4   1.9212499999999999E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        5   2.5450000000000000E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        6   3.1687500000000002E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        7   3.7924999999999998E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        8   4.4162499999999999E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        9   5.0400000000000000E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       10   5.6637499999999996E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       11   6.2875000000000003E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       12   6.9112499999999999E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       13   7.5349999999999995E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       14   8.1587500000000002E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       15   8.7824999999999998E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       16   9.4062500000000004E-01        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       17   1.0029999999999999E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       18   1.0653750000000000E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       19   1.1277500000000000E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       20   1.1901250000000001E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       21   1.2524999999999999E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       22   1.3148750000000000E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       23   1.3772500000000001E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       24   1.4396249999999999E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       25   1.5020000000000000E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       26   1.5643750000000001E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       27   1.6267499999999999E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       28   1.6891250000000000E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       29   1.7515000000000001E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       30   1.8138749999999999E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       31   1.8762500000000000E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       32   1.9386250000000000E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       33   2.0009999999999999E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       34   2.0633750000000002E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       35   2.1257500000000000E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       36   2.1881249999999999E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       37   2.2505000000000002E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       38   2.3128750000000000E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       39   2.3752499999999999E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00       40   2.4376250000000002E+00        5   6.2831853071795862E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        1   5.0000000000000001E-03        6   7.8539816339744828E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
       1   0.0000000000000000E+00        2   6.7375000000000004E-02        6   7.8539816339744828E-01        1   0.0000000000000000E+00   0.0000000000000000E+00
